DOEID,BA_climate_grp,efficiency_class,NWEIGHT,TOTALDOL,pred_TOTALDOL,top5_annual_savings,savings_share_of_bill
100001,Mixed-Dry,inefficient,3284.1036678,2656.89,2201.146189574734,329.7894325252389,0.12412611456448665
100003,Mixed-Dry,efficient,5669.0021418,522.65,531.7095183186301,94.07315389230821,0.1799926411409322
100020,Hot-Humid,average,5876.5015346,1549.78,2123.9167711272285,464.4165491525774,0.29966611335323556
100023,Cold,average,2147.0685985,2922.94,3698.1974099935633,583.7940553704095,0.19972837464005744
100024,Cold,efficient,1997.9487508,1142.86,1808.561617969778,231.32839804636518,0.2024118422609639
100028,Cold,average,5466.3924372,1230.85,2709.269678286565,406.37876604765995,0.33016108059280985
100047,Mixed-Humid,inefficient,3763.2540004,2236.22,2086.2450612019743,596.5087657502047,0.2667486945605552
100054,Cold,inefficient,8834.1533046,2309.65,1687.1140520116105,424.7723300035207,0.18391199099583083
100056,Mixed-Humid,efficient,7002.2197371,1102.84,1521.7208302685242,114.83626364456134,0.10412776435798607
100064,Mixed-Humid,inefficient,11842.857951,3226.06,2599.1325708567665,969.2814482693535,0.3004536333079216
100069,Cold,average,16880.058644,1063.9,1263.0482066174627,265.32201953242793,0.2493862388687169
100083,Mixed-Humid,efficient,7023.2928383,1566.74,1812.4732913687064,315.60548190398094,0.20144087845078376
100091,Cold,inefficient,19298.557001,1894.06,1759.6244780183576,286.89074726962974,0.15146866903352046
100103,Cold,average,7902.0367142,1704.92,2372.6067788291184,287.79023239728457,0.16879984538704723
100122,Cold,average,5362.5432614,3625.34,3163.925677579531,1084.8075612000334,0.29922919262745934
100125,Mixed-Humid,inefficient,5084.2157064,2377.93,2979.410212085236,468.6324381099111,0.19707579201654848
100129,Mixed-Humid,efficient,6116.1247547,1573.71,1420.7057276044436,288.535413067718,0.18334725779700073
100146,Cold,average,5439.890294,2259.74,1987.6859845828217,246.36838477987374,0.10902510234800188
100155,Cold,average,3711.7042353,1510.59,1564.026412337186,716.0738290389584,0.4740358595243967
100158,Hot-Dry,efficient,3991.156064,2650.92,2571.4335318121143,505.02589320635127,0.19050966955108084
100160,Very-Cold,average,915.04627184,2647.51,2206.572751006406,760.2510158204564,0.2871569949954698
100175,Hot-Humid,inefficient,6839.7470219,1913.16,1630.9894634933682,208.29236685797758,0.10887346947352944
100182,Hot-Humid,efficient,4335.3278494,2339.29,1861.884659128867,725.4601227274442,0.31011978964875847
100184,Cold,efficient,4653.7431568,1717.04,2038.4612779392912,372.3092067333385,0.2168319938576495
100190,Very-Cold,efficient,945.46401579,722.8,1033.7491206652066,225.41114329112014,0.3118582502644164
100194,Mixed-Humid,efficient,4992.082462,461.19,887.4548719647725,57.537404383875675,0.12475856888457182
100198,Hot-Humid,average,10541.095433,684.8,688.2965002242735,114.24746779967663,0.16683333498784556
100199,Hot-Humid,inefficient,6563.6211116,846.55,1164.8457716018163,227.7682469725227,0.26905468899949525
100205,Mixed-Humid,average,10050.159997,997.48,720.6453990439074,437.9363676484544,0.43904275539204235
100208,Marine,average,4488.4576359,1499.64,2374.6027170762027,367.9646458172025,0.2453686523547001
100226,Cold,inefficient,4726.6201971,1244.51,2069.0137285089,82.18600421566711,0.06603884598409585
100228,Mixed-Humid,average,4432.0660136,1760.21,1701.9858605137554,257.4945304714964,0.1462862558850912
100229,Hot-Humid,inefficient,9762.8928006,2583.92,2007.553492357952,566.6748965296099,0.2193082202736965
100234,Cold,average,8077.8025576,1604.99,2269.1340303202123,476.4600485535831,0.2968616929411293
100236,Cold,inefficient,7139.4119274,2036.29,1464.6806918541688,127.95190431697317,0.06283579662865955
100238,Marine,average,5994.4187059,2252.75,1652.247705669773,857.1371144022546,0.38048479165564514
100244,Hot-Humid,inefficient,9446.2153638,2138.19,1459.5973053754449,504.2250745287145,0.2358186477949642
100246,Cold,average,6486.263048,2474.48,2185.182160360097,465.3934387087535,0.18807726823767154
100247,Mixed-Humid,efficient,6152.3501904,1675.22,2048.9462228732673,483.4653873387834,0.2885981467143321
100252,Mixed-Humid,average,7965.3014792,1295.46,1812.4005839565905,368.6268017372008,0.2845528242764738
100262,Hot-Dry,efficient,6433.6635953,928.96,971.067499626086,37.54710459561048,0.040418429852319235
100271,Mixed-Humid,average,6440.2988756,3933.9,3073.186700058667,565.9891512989669,0.14387481921222373
100278,Marine,average,17054.754351,737.92,893.847386268048,280.34185536247304,0.37990819514645635
100286,Cold,inefficient,9405.2673738,5892.24,2837.814114690062,933.2826443694137,0.15839182456407302
100296,Mixed-Humid,inefficient,3155.324277,3086.04,2163.1497719154754,836.0827244439039,0.2709241372256691
100300,Hot-Dry,average,2039.8982333,1125.17,1043.603924176406,219.81383118425217,0.19536055101384872
100303,Mixed-Humid,average,4506.0690254,2296.78,1809.7556175078075,629.3196168811194,0.27400082588716346
100304,Hot-Humid,efficient,9564.7587061,2397.33,2333.651397023487,745.6389157008581,0.3110289011946032
100313,Hot-Dry,inefficient,13090.950813,1019.21,910.5201830005716,35.386472320921534,0.0347195105237601
100316,Hot-Dry,inefficient,4470.5511712,1843.07,1503.3525566813014,258.5372146829347,0.14027530950150277
100317,Hot-Dry,efficient,17006.20365,501.19,1084.574160317997,84.91951502212271,0.16943577290473216
100318,Hot-Humid,efficient,7398.5502527,1529.12,2125.412390681488,313.0471957692488,0.20472375992024747
100320,Cold,efficient,6936.5031729,1493.84,2378.1712288075187,467.74518514606893,0.3131159864149233
100325,Hot-Humid,efficient,13351.019209,433.72,1467.4258780045875,48.929972391798884,0.11281465551922641
100329,Marine,inefficient,6848.1897832,1753.34,2049.8605899266927,409.0161404447721,0.2332782805643926
