DOEID,upgrade_id,category,eligible,annual_savings,cost_midpoint,payback_years,lifespan_years,rank
100001,thermostat_setback,Behavioral,True,87.71728183294648,0,0.0,1,1
100001,programmable_thermostat,Behavioral,True,76.02164425522027,90,1.1838733676668651,15,2
100001,smart_thermostat,Behavioral,True,93.56510062180956,200,2.137549136065173,12,3
100001,led_lighting,Lighting,True,61.51565377529535,200,3.2512049815899036,15,4
100001,low_flow_showerheads,Water Heating,True,10.969752039967261,80,7.292781068207149,10,5
100003,thermostat_setback,Behavioral,True,28.813546490708532,0,0.0,1,1
100003,programmable_thermostat,Behavioral,True,24.97174029194739,90,3.6040740031651777,15,2
100003,smart_thermostat,Behavioral,True,30.7344495900891,200,6.5073558390482376,12,3
100003,low_flow_showerheads,Water Heating,True,3.5017738414410777,80,22.84556445457876,10,4
100003,led_lighting,Lighting,True,6.051643678122119,200,33.04887244485978,15,5
100020,thermostat_setback,Behavioral,True,64.60861701436014,0,0.0,1,1
100020,programmable_thermostat,Behavioral,True,55.99413474577878,90,1.6073112015858912,15,2
100020,smart_thermostat,Behavioral,True,68.91585814865081,200,2.9020896695300813,12,3
100020,low_flow_showerheads,Water Heating,True,16.463471186347117,80,4.859242567651387,10,4
100020,heat_pump_replace,HVAC,True,258.43446805744054,8000,30.9556231416542,18,5
100023,thermostat_setback,Behavioral,True,74.19519156194784,0,0.0,1,1
100023,smart_thermostat,Behavioral,True,79.14153766607768,200,2.5271179446103393,12,2
100023,low_flow_showerheads,Water Heating,True,22.557943018488398,80,3.546422647421014,10,3
100023,energy_star_fridge,Appliance,True,259.509,1500,5.780146353305665,14,4
100023,attic_insulation,Insulation,True,148.39038312389567,2300,15.499656726943414,30,5
100024,thermostat_setback,Behavioral,True,38.14783038620561,0,0.0,1,1
100024,smart_thermostat,Behavioral,True,40.69101907861931,200,4.915089484821676,12,2
100024,low_flow_showerheads,Water Heating,True,12.030613864599323,80,6.6497022429922685,10,3
100024,attic_insulation,Insulation,True,76.29566077241122,2300,30.145882173572943,30,4
100024,heat_pump_water_heater,Water Heating,True,64.16327394452972,2400,37.40457511683151,13,5
100028,thermostat_setback,Behavioral,True,81.61343484534413,0,0.0,1,1
100028,programmable_thermostat,Behavioral,True,70.73164353263157,90,1.2724149405418397,15,2
100028,smart_thermostat,Behavioral,True,87.05433050170039,200,2.2974158648672107,12,3
100028,attic_insulation,Insulation,True,163.22686969068826,2300,14.09081730451889,30,4
100028,low_flow_showerheads,Water Heating,True,3.752487477295601,80,21.319191731895025,10,5
100047,thermostat_setback,Behavioral,True,64.2724573928271,0,0.0,1,1
100047,low_flow_showerheads,Water Heating,True,38.579358947477616,80,2.073647727244844,10,2
100047,tankless_water_heater,Water Heating,True,108.02220505293731,2300,21.291918627960456,20,3
100047,heat_pump_replace,HVAC,True,257.0898295713084,8000,31.117528115911167,18,4
100047,high_eff_furnace,HVAC,True,128.5449147856542,5000,38.896910144888956,20,5
100054,thermostat_setback,Behavioral,True,95.096501543802,0,0.0,1,1
100054,smart_thermostat,Behavioral,True,101.4362683133888,200,1.9716813653090741,12,2
100054,led_lighting,Lighting,True,28.977600126467795,200,6.901882803514925,15,3
100054,low_flow_showerheads,Water Heating,True,9.068956932258105,80,8.821301126201353,10,4
100054,attic_insulation,Insulation,True,190.193003087604,2300,12.092979040562321,30,5
100056,thermostat_setback,Behavioral,True,20.26310671068994,0,0.0,1,1
100056,low_flow_showerheads,Water Heating,True,22.26855217376804,80,3.5925101630198744,10,2
100056,smart_thermostat,Behavioral,True,21.6139804914026,200,9.25327012669203,12,3
100056,led_lighting,Lighting,True,10.164410847320884,200,19.676497044854855,15,4
100056,attic_insulation,Insulation,True,40.52621342137988,2300,56.75339011037778,30,5
100064,thermostat_setback,Behavioral,True,97.13888788394901,0,0.0,1,1
100064,low_flow_showerheads,Water Heating,True,90.3409708746275,80,0.8855339855824841,10,2
100064,smart_thermostat,Behavioral,True,103.61481374287892,200,1.9302259278900193,12,3
100064,energy_star_fridge,Appliance,True,483.90900000000005,1500,3.0997563591501707,14,4
100064,attic_insulation,Insulation,True,194.27777576789802,2300,11.838719024392116,30,5
100069,thermostat_setback,Behavioral,True,41.533949741657324,0,0.0,1,1
100069,smart_thermostat,Behavioral,True,44.30287972443447,200,4.5143792287094495,12,2
100069,energy_star_fridge,Appliance,True,93.099,1500,16.11188090097638,14,3
100069,low_flow_showerheads,Water Heating,True,3.3182905830214584,80,24.10879879216493,10,4
100069,attic_insulation,Insulation,True,83.06789948331465,2300,27.688192602751286,30,5
100083,thermostat_setback,Behavioral,True,33.544062162725474,0,0.0,1,1
100083,low_flow_showerheads,Water Heating,True,38.729066226652854,80,2.0656320380103823,10,2
100083,programmable_thermostat,Behavioral,True,29.071520541028743,90,3.0958133019902645,15,3
100083,smart_thermostat,Behavioral,True,35.780332973573834,200,5.589662906371312,12,4
100083,energy_star_fridge,Appliance,True,178.4805,1500,8.404279459100573,14,5
100091,thermostat_setback,Behavioral,True,30.870526745556244,0,0.0,1,1
100091,low_flow_showerheads,Water Heating,True,37.86849818880935,80,2.112573876078378,10,2
100091,smart_thermostat,Behavioral,True,32.92856186192665,200,6.073754476087465,12,3
100091,attic_insulation,Insulation,True,61.74105349111249,2300,37.252360786669776,30,4
100091,heat_pump_replace,HVAC,True,123.48210698222498,8000,64.78671441159962,18,5
100103,thermostat_setback,Behavioral,True,79.95655026347977,0,0.0,1,1
100103,programmable_thermostat,Behavioral,True,69.29567689501579,90,1.2987823199469086,15,2
100103,smart_thermostat,Behavioral,True,85.28698694771174,200,2.345023633237474,12,3
100103,low_flow_showerheads,Water Heating,True,22.759893639680875,80,3.514954914399227,10,4
100103,led_lighting,Lighting,True,30.491124651396397,200,6.5592857687799535,15,5
100122,thermostat_setback,Behavioral,True,113.59821965695151,0,0.0,1,1
100122,low_flow_showerheads,Water Heating,True,76.54759061721056,80,1.0451014768061586,10,2
100122,smart_thermostat,Behavioral,True,121.17143430074826,200,1.6505540365528624,12,3
100122,energy_star_fridge,Appliance,True,365.23650000000004,1500,4.10692797680407,14,4
100122,heat_pump_water_heater,Water Heating,True,408.25381662512297,2400,5.878695807034642,13,5
100125,thermostat_setback,Behavioral,True,113.27695711695135,0,0.0,1,1
100125,smart_thermostat,Behavioral,True,120.82875425808143,200,1.6552351402449663,12,2
100125,low_flow_showerheads,Water Heating,True,19.3045802625668,80,4.1440942466450155,10,3
100125,led_lighting,Lighting,True,42.4521464723115,200,4.71118698627985,15,4
100125,energy_star_fridge,Appliance,True,172.77,1500,8.682062858135092,14,5
100129,thermostat_setback,Behavioral,True,77.80538918015517,0,0.0,1,1
100129,programmable_thermostat,Behavioral,True,67.43133728946782,90,1.3346910148563405,15,2
100129,smart_thermostat,Behavioral,True,82.99241512549885,200,2.409858776823948,12,3
100129,led_lighting,Lighting,True,44.89373453544398,200,4.4549646419390285,15,4
100129,low_flow_showerheads,Water Heating,True,15.412536937152224,80,5.1905796123127805,10,5
100146,thermostat_setback,Behavioral,True,68.24406802886428,0,0.0,1,1
100146,programmable_thermostat,Behavioral,True,59.14485895834904,90,1.5216876256883078,15,2
100146,smart_thermostat,Behavioral,True,72.79367256412189,200,2.747491546381667,12,3
100146,low_flow_showerheads,Water Heating,True,16.043445296359153,80,4.986460110170659,10,4
100146,led_lighting,Lighting,True,30.142339932179368,200,6.635184940850725,15,5
100155,thermostat_setback,Behavioral,True,62.970276627304095,0,0.0,1,1
100155,energy_star_washer,Appliance,True,265.3975,950,3.5795363558435933,12,2
